hiragana,group,furigana
あ,あ,a
い,あ,i
う,あ,u
え,あ,e
お,あ,o
か,か,ka
き,か,ki
く,か,ku
け,か,ke
こ,か,ko
さ,さ,sa
し,さ,shi
す,さ,su
せ,さ,se
そ,さ,so
た,た,ta
ち,た,chi
つ,た,tsu
て,た,te
と,た,to
な,な,na
に,な,ni
ぬ,な,nu
ね,な,ne
の,な,no
は,は,ha
ひ,は,hi
ふ,は,fu
へ,は,he
ほ,は,ho
ま,ま,ma
み,ま,mi
む,ま,mu
め,ま,me
も,ま,mo
や,や,ya
ゆ,や,yu
よ,や,yo
わ,わをん,wa
を,わをん,(w)o
ん,わをん,n
が,が,ga
ぎ,が,gi
ぐ,が,gu
げ,が,ge
ご,が,go
ざ,ざ,za
じ,ざ,ji
ず,ざ,zu
ぜ,ざ,ze
ぞ,ざ,zo
だ,だ,da
で,だ,de
ど,だ,do
ば,ば,ba
び,ば,bi
ぶ,ば,bu
べ,ば,be
ぼ,ば,bo
ぱ,ぱ,pa
ぴ,ぱ,pi
ぷ,ぱ,pu
ぺ,ぱ,pe
ぽ,ぱ,po
きゃ,きゃ,kya
きゅ,きゃ,kyu
きょ,きゃ,kyo
しゃ,しゃ,sha
しゅ,しゃ,shu
しょ,しゃ,sho
ちゃ,ちゃ,cha
ちゅ,ちゃ,chu
ちょ,ちゃ,cho
にゃ,にゃ,nya
にゅ,にゃ,nyu
にょ,にゃ,nyo
ひゃ,ひゃ,hya
ひゅ,ひゃ,hyu
ひょ,ひゃ,hyo
みゃ,みゃ,mya
みゅ,みゃ,myu
みょ,みゃ,myo
りゃ,りゃ,rya
りゅ,りゃ,ryu
りょ,りゃ,ryo
ぎゃ,ぎゃ,gya
ぎゅ,ぎゃ,gyu
ぎょ,ぎゃ,gyo
じゃ,じゃ,ja
じゅ,じゃ,ju
じょ,じゃ,jo
びゃ,びゃ,bya
びゅ,びゃ,byu
びょ,びゃ,byo
ぴゃ,ぴゃ,pya
ぴゅ,ぴゃ,pyu
ぴょ,ぴゃ,pyo
