dictionary,dict_end,level,meaning,form,form_end,past,negative
おいしい,oishi +i,1,tasty,おいしくない,oishi +kunai,FALSE,TRUE
おいしい,oishi +i,1,tasty,おいしかった,oishi +katta,TRUE,FALSE
おいしい,oishi +i,1,tasty,おいしくなかった,oishi +kunakatta,TRUE,TRUE
うれしい,ureshi +i,1,happy,うれしくない,ureshi +kunai,FALSE,TRUE
うれしい,ureshi +i,1,happy,うれしかった,ureshi +katta,TRUE,FALSE
うれしい,ureshi +i,1,happy,うれしくなかった,ureshi +kunakatta,TRUE,TRUE
むずかしい,muzukashi +i,1,difficult,むずかしくない,muzukashi +kunai,FALSE,TRUE
むずかしい,muzukashi +i,1,difficult,むずかしかった,muzukashi +katta,TRUE,FALSE
むずかしい,muzukashi +i,1,difficult,むずかしくなかった,muzukashi +kunakatta,TRUE,TRUE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
,,,,,,FALSE,FALSE
