kanji,reading,meaning,level,category
一,いち,one,1,number
一つ,ひとつ,one (thing),1,number
一人,ひとり,one person,1,number
二,に,two,1,number
二つ,ふたつ,two (things),1,number
二人,ふたり,two people,1,number
三,さん,three,1,number
三つ,みっつ,three (things),1,number
三人,さんにん,three people,1,number
四,よん,four,1,number
四つ,よっつ,four (things),1,number
四人,よにん,four people,1,number
五,ご,five,1,number
五つ,いつつ,five (things),1,number
五人,ごにん,five people,1,number
山,やま,mountain,1,Noun
川,かわ,river,1,Noun
左,ひだり,left,1,Noun
右,みぎ,right,1,Noun
学校,がっこう,school,1,Noun
小学校,しょうがっこう,primary school,1,Noun
中学校,ちゅうがっこう,secondary school,1,Noun
高校,こうこう,high school,1,Noun
大学,だいがく,"university, college",1,Noun
車,くるま,car,1,Noun
目,め,eye,1,Noun
耳,みみ,ear,1,Noun
手,て,hand,1,Noun
出る,でる,to get out,1,Verb
入る,はいる,to enter,1,Verb
入れる,いれる,to put sth in,1,Verb
見る,みる,"to see, watch",1,Verb
生まれる,うまれる,to be born,1,Verb
食べる,たべる,to eat,1,Verb
作る,つくる,to make,1,Verb
使う,つかう,to use,1,Verb
話す,はなす,to speak,1,Verb
来る,くる,to come,1,Verb
病院,びょういん,hospital,2,Noun
予約,よやく,reservation,2,Noun
歯医者,はいしゃ,dentist,2,Noun
お店,おみせ,shop,2,Noun
お金,おかね,money,2,Noun
駅,えき,station,2,Noun
電車,でんしゃ,train,2,Noun
車,くるま,car,2,Noun
自転車,じてんしゃ,bike,2,Noun
地下鉄,ちかてつ,underground,2,Noun
歩く,あるく,to walk,2,Verb
走る,はしる,to run,2,Verb
書く,かく,to write,2,Verb
読む,よむ,to read,2,Verb
歌う,うたう,to sing,2,Verb
行く,いく,to go,2,Verb
帰る,かえる,to go back,2,Verb
働く,はたらく,to work,2,Verb
教える,おしえる,"to teach, tell",2,Verb
勉強する,べんきょうする,to study,2,Verb
