hiragana,group,furigana
ア,ア,a
イ,ア,i
ウ,ア,u
エ,ア,e
オ,ア,o
カ,カ,ka
キ,カ,ki
ク,カ,ku
ケ,カ,ke
コ,カ,ko
サ,サ,sa
シ,サ,shi
ス,サ,su
セ,サ,se
ソ,サ,so
タ,タ,ta
チ,タ,chi
ツ,タ,tsu
テ,タ,te
ト,タ,to
ナ,ナ,na
ニ,ナ,ni
ヌ,ナ,nu
ネ,ナ,ne
ノ,ナ,no
ハ,ハ,ha
ヒ,ハ,hi
フ,ハ,fu
ヘ,ハ,he
ホ,ハ,ho
マ,マ,ma
ミ,マ,mi
ム,マ,mu
メ,マ,me
モ,マ,mo
ヤ,ヤ,ya
ユ,ヤ,yu
ヨ,ヤ,yo
ワ,ワ,wa
ヲ,ワ,(w)o
ン,ワ,n
ガ,ガ,ga
ギ,ガ,gi
グ,ガ,gu
ゲ,ガ,ge
ゴ,ガ,go
ザ,ザ,za
ジ,ザ,ji
ズ,ザ,zu
ゼ,ザ,ze
ゾ,ザ,zo
ダ,ダ,da
デ,ダ,de
ド,ダ,do
バ,バ,ba
ビ,バ,bi
ブ,バ,bu
ベ,バ,be
ボ,バ,bo
パ,パ,pa
ピ,パ,pi
プ,パ,pu
ペ,パ,pe
ポ,パ,po
キャ,キャ,kya
キュ,キャ,kyu
キョ,キャ,kyo
シャ,シャ,sha
シュ,シャ,shu
ショ,シャ,sho
チャ,チャ,cha
チュ,チャ,chu
チョ,チャ,cho
ニャ,ニャ,nya
ニュ,ニャ,nyu
ニョ,ニャ,nyo
ヒャ,ヒャ,hya
ヒュ,ヒャ,hyu
ヒョ,ヒャ,hyo
ミャ,ミャ,mya
ミュ,ミャ,myu
ミョ,ミャ,myo
リャ,リャ,rya
リュ,リャ,ryu
リョ,リャ,ryo
ギャ,ギャ,gya
ギュ,ギャ,gyu
ギョ,ギャ,gyo
ジャ,ジャ,ja
ジュ,ジャ,ju
ジョ,ジャ,jo
ビャ,ビャ,bya
ビュ,ビャ,byu
ビョ,ビャ,byo
ピャ,ピャ,pya
ピュ,ピャ,pyu
ピョ,ピャ,pyo
