phrase,particle,meaning,level
ラーメン(___)たべる,を,eat ramen,1
がっこう(___)いく,に,go to school,1
ともだち(___)あそぶ,と,play with friends,1
ねこ(___)いる,が,there is a cat,1
イギリス(___)くる,に,come to the UK,1
にほん(___)たべもの,の,Japanese foods,1
いもうと(___)べんきょうする,と,study with my sister,1
わたし(___)おばあちゃん,の,my grandmother,1
バス(___)とまる,が,the bus stops,1
えいが(___)みる,を,watch a film,1
おじいちゃん(___)あう,に,meet my grandfather,1
おとうと(___)けんかする,と,fight with my brother,1
ほん(___)ある,が,there is a book,1
ぼく(___)なまえ,の,my name,1
つめたいのみもの(___)のむ,を,drink a cold drink,1
