dictionary,level,dan,meaning,dict_end,ta_form,ta_end,meaning_ta,nai_form,nai_end,meaning_nai
する,1,irregular,do,su ru,した,shi +ta,[past],しない,shi +nai,[negative]
くる,1,irregular,come,ku ru,きた,ki +ta,[past],こない,ko +nai,[negative]
かす,1,5 dan,lend,kas +u,かした,kas +ita,[past],かさない,kas +anai,[negative]
おす,1,5 dan,press,os +u,おした,os +ita,[past],おさない,os +anai,[negative]
かく,1,5 dan,write,kak +u,かいた,kak +ita,[past],かかない,kak +anai,[negative]
きく,1,5 dan,listen,kik +u,きいた,kik +ita,[past],きかない,kik +anai,[negative]
たべる,1,1 dan,eat,tabe +ru,たべた,tabe +ta,[past],たべない,tabe +nai,[negative]
みる,1,1 dan,see,mi +ru,みた,mi +ta,[past],みない,mi +nai,[negative]
おしえる,1,1 dan,teach,oshie +ru,おしえた,oshie +ta,[past],おしえない,oshie +nai,[negative]
かりる,1,1 dan,borrow,kari +ru,かりた,kari +ta,[past],かりない,kari +nai,[negative]
よむ,2,5 dan,go,yom +u,よんだ,yo~~m~~ !!+da!!,[past],よまない,yom +anai,[negative]
のむ,2,5 dan,drink,nom +u,のんだ,no~~m~~ !!+da!!,[past],のまない,nom +anai,[negative]
あるく,2,5 dan,walk,aruk +u,あるいた,aru~~k~~ +ita,[past],あるかない,aruk +anai,[negative]
はたらく,2,5 dan,work,hatarak +u,はたらいた,hatara~~k~~ +ita,[past],はたらかない,hatarak +anai,[negative]
つくる,2,5 dan,make,tsukur +u,つくった,tsuku~~r~~ !!+tta!!,[past],つくらない,tsukur +anai,[negative]
はしる,2,5 dan,run,hashir +u,はしった,hashi~~r~~ !!+tta!!,[past],はしらない,hashir +anai,[negative]
つかう,2,5 dan,use,tsukaw +u,つかった,tsuka~~w~~ !!+tta!!,[past],つかわない,tsukaw +anai,[negative]
あう,2,5 dan,meet,aw +u,あった,a~~w~~ !!+tta!!,[past],あわない,aw +anai,[negative]
あける,2,5 dan,open,ake +ru,あけた,ake +ta,[past],あけない,ake +nai,[negative]
しめる,2,5 dan,close,shime +u,しめた,shime +ta,[past],しめない,shime +nai,[negative]
